cluster_id,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,fcf_cagr_5yr,operating_profit_margin_pct
0.0,22.06,0.62,11.36,11.22,19.39
1.0,78.22,0.7,14.33,13.36,81.42
2.0,4280.32,0.56,9.73,32.35,28.51
3.0,20.39,7.23,19.02,-5.08,50.41
4.0,15.55,0.02,9.51,228.75,75.59
