company_id,year,free_cash_flow_cr,cfo_quality_score,cfo_quality_label,capex_cr,capex_label,fcf_conversion_rate
ADANIPORTS,Mar 2023,-4816.0,2.2073826748284175,High Quality,80.1649721849223,Capital Intensive,-43.99378825248927
ADANIPORTS,Mar 2024,8250.0,1.8531589338598222,High Quality,25.337875781513237,Capital Intensive,52.92193213163128
ADANIPORTS,TTM,,,Accrual Risk,,Capital Intensive,
ADANIPOWER,Mar 2013,-1063.0,-1.3076252723311548,Accrual Risk,60.72922893006575,Capital Intensive,-110.72916666666666
ADANIPOWER,Mar 2014,-1462.0,-11.127147766323024,Accrual Risk,30.66283924843424,Capital Intensive,-31.83104724580884
ADANIPOWER,Mar 2015,1087.0,-7.137254901960785,Accrual Risk,25.354600438901677,Capital Intensive,23.236425823001284
ADANIPOWER,Mar 2016,2565.0,9.540834845735027,High Quality,10.60803089411672,Capital Intensive,29.141104294478527
ADANIPOWER,Mar 2017,3513.0,-0.7653061224489796,Accrual Risk,5.359037849310223,Moderate,58.745819397993316
ADANIPOWER,Mar 2018,4581.0,-2.425582501188778,Accrual Risk,2.56107171000788,Asset Light,84.27152317880795
ADANIPOWER,Mar 2019,4626.0,-5.701219512195122,Accrual Risk,4.119912912409982,Moderate,92.83564118001205
ADANIPOWER,Mar 2020,3294.0,-2.4606593406593404,Accrual Risk,8.704851141000454,Capital Intensive,57.446808510638306
ADANIPOWER,Mar 2021,4826.0,5.522834645669291,High Quality,8.344456733152816,Capital Intensive,55.547882136279924
ADANIPOWER,Mar 2022,11007.0,2.0832654723127035,High Quality,2.793114647612861,Asset Light,111.39560773201094
ADANIPOWER,Mar 2023,9976.0,0.7859606600167801,Moderate,3.984731643153741,Moderate,98.81141045958796
ADANIPOWER,Mar 2024,17651.0,0.6803015027125642,Moderate,6.9134674584417395,Moderate,96.83454026771999
ADANIPOWER,TTM,,,Accrual Risk,,Capital Intensive,
AMBUJACEM,Dec 2012,1472.0,1.4396284829721362,High Quality,3.979895373884501,Moderate,59.522846744844315
AMBUJACEM,Dec 2013,771.0,0.9913928012519562,Moderate,5.414256085580177,Moderate,46.19532654284003
AMBUJACEM,Dec 2014,1219.0,1.1264290517821116,High Quality,4.580612757408337,Moderate,63.02998965873836
AMBUJACEM,Dec 2015,1474.0,1.926980198019802,High Quality,0.8795167955918195,Asset Light,95.59014267185474
AMBUJACEM,Dec 2016,-1355.0,1.9595536959553697,High Quality,20.727580372250422,Capital Intensive,-42.59666771455517
AMBUJACEM,Dec 2017,2678.0,1.7562982005141388,High Quality,3.125926553433013,Moderate,69.4142042509072
AMBUJACEM,Dec 2018,938.0,0.5728220652539522,Moderate,2.9376752044852346,Asset Light,23.38568935427574
AMBUJACEM,Dec 2019,3548.0,1.7028386633129715,High Quality,4.394185360094451,Moderate,77.18077006743529
AMBUJACEM,Dec 2020,3515.0,1.5551979401351785,High Quality,5.3720019579050415,Moderate,70.2157411106672
AMBUJACEM,Dec 2021,3302.0,1.4306116949609269,High Quality,6.929052304505437,Moderate,53.17230273752013
AMBUJACEM,Mar 2023 15,,,Accrual Risk,,Capital Intensive,
AMBUJACEM,Mar 2024,-3295.0,1.1916420430561419,High Quality,26.963208685162847,Capital Intensive,-51.48437500000001
AMBUJACEM,TTM,,,Accrual Risk,,Capital Intensive,
APOLLOHOSP,Mar 2013,-290.0,1.462046204620462,High Quality,19.44812947731494,Capital Intensive,-47.385620915032675
APOLLOHOSP,Mar 2014,17.0,1.1841269841269841,High Quality,8.170759697039246,Capital Intensive,2.514792899408284
APOLLOHOSP,Mar 2015,-289.0,1.4029850746268657,High Quality,14.798206278026907,Capital Intensive,-39.21302578018996
APOLLOHOSP,Mar 2016,-291.0,2.5404255319148934,High Quality,14.439024390243901,Capital Intensive,-42.54385964912281
APOLLOHOSP,Mar 2017,-529.0,4.755725190839694,High Quality,15.87651598676957,Capital Intensive,-72.0708446866485
